Surname,Name,Middle_name,Type,"Количество доставок"
Рыбаков,Милий,Марсович,АИ-80,631
Рыбаков,Милий,Марсович,АИ-92,565
Рыбаков,Милий,Марсович,АИ-95,302
Рыбаков,Милий,Марсович,АИ-98,742
Рыбаков,Милий,Марсович,"Биодизельное топливо",537
Рыбаков,Милий,Марсович,"Дизельное топливо",461
Рыбаков,Милий,Марсович,Керосин,370
Максимов,Олимпий,Фомич,АИ-100,634
Максимов,Олимпий,Фомич,АИ-101,355
Максимов,Олимпий,Фомич,АИ-102,565
Максимов,Олимпий,Фомич,АИ-80,579
Максимов,Олимпий,Фомич,АИ-92,527
Максимов,Олимпий,Фомич,АИ-95,342
Максимов,Олимпий,Фомич,АИ-98,448
Максимов,Олимпий,Фомич,"Биодизельное топливо",319
Максимов,Олимпий,Фомич,"Дизельное топливо",481
Максимов,Олимпий,Фомич,Керосин,515
Фадеев,Мир,Давидович,АИ-100,311
Фадеев,Мир,Давидович,АИ-101,550
Фадеев,Мир,Давидович,АИ-102,388
Фадеев,Мир,Давидович,АИ-80,503
Фадеев,Мир,Давидович,АИ-92,602
Фадеев,Мир,Давидович,АИ-95,447
Фадеев,Мир,Давидович,АИ-98,652
Фадеев,Мир,Давидович,"Биодизельное топливо",306
Фадеев,Мир,Давидович,"Дизельное топливо",426
Фадеев,Мир,Давидович,Керосин,305
Гришин,Иван,Яковлевич,АИ-100,430
Гришин,Иван,Яковлевич,АИ-101,919
Гришин,Иван,Яковлевич,АИ-102,869
Гришин,Иван,Яковлевич,АИ-80,875
Гришин,Иван,Яковлевич,АИ-92,993
Гришин,Иван,Яковлевич,АИ-95,1018
Гришин,Иван,Яковлевич,АИ-98,628
Гришин,Иван,Яковлевич,"Биодизельное топливо",697
Гришин,Иван,Яковлевич,"Дизельное топливо",834
Гришин,Иван,Яковлевич,Керосин,1015
Зуев,Сидор,Федосьевич,АИ-100,639
Зуев,Сидор,Федосьевич,АИ-101,460
Зуев,Сидор,Федосьевич,АИ-102,1032
Зуев,Сидор,Федосьевич,АИ-80,747
Зуев,Сидор,Федосьевич,АИ-92,459
Зуев,Сидор,Федосьевич,АИ-95,903
Зуев,Сидор,Федосьевич,АИ-98,651
Зуев,Сидор,Федосьевич,"Биодизельное топливо",427
Зуев,Сидор,Федосьевич,"Дизельное топливо",906
Зуев,Сидор,Федосьевич,Керосин,688
Гущин,Пахом,Всеволодович,АИ-100,436
Гущин,Пахом,Всеволодович,АИ-101,436
Гущин,Пахом,Всеволодович,АИ-102,308
Гущин,Пахом,Всеволодович,АИ-80,280
Гущин,Пахом,Всеволодович,АИ-92,378
Гущин,Пахом,Всеволодович,АИ-95,532
Гущин,Пахом,Всеволодович,АИ-98,283
Гущин,Пахом,Всеволодович,"Биодизельное топливо",498
Гущин,Пахом,Всеволодович,"Дизельное топливо",502
Гущин,Пахом,Всеволодович,Керосин,305
Мельников,Андрон,Фролович,АИ-100,465
Мельников,Андрон,Фролович,АИ-101,308
Мельников,Андрон,Фролович,АИ-102,323
Мельников,Андрон,Фролович,АИ-80,658
Мельников,Андрон,Фролович,АИ-92,596
Мельников,Андрон,Фролович,АИ-95,529
Мельников,Андрон,Фролович,АИ-98,472
Мельников,Андрон,Фролович,"Биодизельное топливо",483
Мельников,Андрон,Фролович,"Дизельное топливо",432
Мельников,Андрон,Фролович,Керосин,590
Егоров,Данила,Тихонович,АИ-100,255
Егоров,Данила,Тихонович,АИ-101,118
Егоров,Данила,Тихонович,АИ-102,135
Егоров,Данила,Тихонович,АИ-80,122
Егоров,Данила,Тихонович,АИ-92,196
Егоров,Данила,Тихонович,АИ-95,390
Егоров,Данила,Тихонович,АИ-98,124
Егоров,Данила,Тихонович,"Биодизельное топливо",259
Егоров,Данила,Тихонович,"Дизельное топливо",363
Егоров,Данила,Тихонович,Керосин,234
Воронов,Ярополк,Васильевич,АИ-100,255
Воронов,Ярополк,Васильевич,АИ-101,556
Воронов,Ярополк,Васильевич,АИ-102,549
Воронов,Ярополк,Васильевич,АИ-80,677
Воронов,Ярополк,Васильевич,АИ-92,378
Воронов,Ярополк,Васильевич,АИ-95,584
Воронов,Ярополк,Васильевич,АИ-98,584
Воронов,Ярополк,Васильевич,"Биодизельное топливо",564
Воронов,Ярополк,Васильевич,"Дизельное топливо",418
Воронов,Ярополк,Васильевич,Керосин,359
Хохлов,Андрей,Денисович,АИ-100,578
Хохлов,Андрей,Денисович,АИ-101,546
Хохлов,Андрей,Денисович,АИ-102,650
Хохлов,Андрей,Денисович,АИ-80,870
Хохлов,Андрей,Денисович,АИ-92,304
Хохлов,Андрей,Денисович,АИ-95,488
Хохлов,Андрей,Денисович,АИ-98,500
Хохлов,Андрей,Денисович,"Биодизельное топливо",656
Хохлов,Андрей,Денисович,"Дизельное топливо",533
Хохлов,Андрей,Денисович,Керосин,580
Кондратьев,Сидор,Гавриилович,АИ-100,483
Кондратьев,Сидор,Гавриилович,АИ-101,1018
Кондратьев,Сидор,Гавриилович,АИ-102,483
Кондратьев,Сидор,Гавриилович,АИ-80,559
Кондратьев,Сидор,Гавриилович,АИ-92,580
Кондратьев,Сидор,Гавриилович,АИ-95,751
Кондратьев,Сидор,Гавриилович,АИ-98,500
Кондратьев,Сидор,Гавриилович,"Биодизельное топливо",320
Кондратьев,Сидор,Гавриилович,"Дизельное топливо",610
Кондратьев,Сидор,Гавриилович,Керосин,471
Сергеев,Эраст,Тарасович,АИ-100,248
Сергеев,Эраст,Тарасович,АИ-101,368
Сергеев,Эраст,Тарасович,АИ-102,546
Сергеев,Эраст,Тарасович,АИ-80,560
Сергеев,Эраст,Тарасович,АИ-92,406
Сергеев,Эраст,Тарасович,АИ-95,389
Сергеев,Эраст,Тарасович,АИ-98,422
Сергеев,Эраст,Тарасович,"Биодизельное топливо",302
Сергеев,Эраст,Тарасович,"Дизельное топливо",271
Сергеев,Эраст,Тарасович,Керосин,363
Громов,Игнатий,Ануфриевич,АИ-100,224
Громов,Игнатий,Ануфриевич,АИ-101,320
Громов,Игнатий,Ануфриевич,АИ-102,398
Громов,Игнатий,Ануфриевич,АИ-80,215
Громов,Игнатий,Ануфриевич,АИ-92,305
Громов,Игнатий,Ануфриевич,АИ-95,521
Громов,Игнатий,Ануфриевич,АИ-98,439
Громов,Игнатий,Ануфриевич,"Биодизельное топливо",342
Громов,Игнатий,Ануфриевич,"Дизельное топливо",373
Громов,Игнатий,Ануфриевич,Керосин,418
Тихонов,Ермолай,Филимонович,АИ-100,539
Тихонов,Ермолай,Филимонович,АИ-101,337
Тихонов,Ермолай,Филимонович,АИ-102,440
Тихонов,Ермолай,Филимонович,АИ-80,435
Тихонов,Ермолай,Филимонович,АИ-92,658
Тихонов,Ермолай,Филимонович,АИ-95,745
Тихонов,Ермолай,Филимонович,АИ-98,353
Тихонов,Ермолай,Филимонович,"Биодизельное топливо",441
Тихонов,Ермолай,Филимонович,"Дизельное топливо",221
Тихонов,Ермолай,Филимонович,Керосин,722
Рожков,Феофан,Матвеевич,АИ-100,450
Рожков,Феофан,Матвеевич,АИ-101,378
Рожков,Феофан,Матвеевич,АИ-102,655
Рожков,Феофан,Матвеевич,АИ-80,429
Рожков,Феофан,Матвеевич,АИ-92,483
Рожков,Феофан,Матвеевич,АИ-95,610
Рожков,Феофан,Матвеевич,АИ-98,546
Рожков,Феофан,Матвеевич,"Биодизельное топливо",356
Рожков,Феофан,Матвеевич,"Дизельное топливо",430
Рожков,Феофан,Матвеевич,Керосин,333
Власов,Георгий,Георгиевич,АИ-100,473
Власов,Георгий,Георгиевич,АИ-101,453
Власов,Георгий,Георгиевич,АИ-102,579
Власов,Георгий,Георгиевич,АИ-80,540
Власов,Георгий,Георгиевич,АИ-92,604
Власов,Георгий,Георгиевич,АИ-95,542
Власов,Георгий,Георгиевич,АИ-98,528
Власов,Георгий,Георгиевич,"Биодизельное топливо",406
Власов,Георгий,Георгиевич,"Дизельное топливо",801
Власов,Георгий,Георгиевич,Керосин,449
Калинин,Лев,Елисеевич,АИ-100,305
Калинин,Лев,Елисеевич,АИ-101,196
Калинин,Лев,Елисеевич,АИ-102,283
Калинин,Лев,Елисеевич,АИ-80,437
Калинин,Лев,Елисеевич,АИ-92,311
Калинин,Лев,Елисеевич,АИ-95,249
Калинин,Лев,Елисеевич,АИ-98,213
Калинин,Лев,Елисеевич,"Биодизельное топливо",332
Калинин,Лев,Елисеевич,"Дизельное топливо",393
Калинин,Лев,Елисеевич,Керосин,306
Дроздов,Павел,Иосифович,АИ-100,500
Дроздов,Павел,Иосифович,АИ-101,663
Дроздов,Павел,Иосифович,АИ-102,542
Дроздов,Павел,Иосифович,АИ-80,861
Дроздов,Павел,Иосифович,АИ-92,612
Дроздов,Павел,Иосифович,АИ-95,563
Дроздов,Павел,Иосифович,АИ-98,826
Дроздов,Павел,Иосифович,"Биодизельное топливо",773
Дроздов,Павел,Иосифович,"Дизельное топливо",581
Дроздов,Павел,Иосифович,Керосин,744
Антонов,Семен,Фадеевич,АИ-100,429
Антонов,Семен,Фадеевич,АИ-101,237
Антонов,Семен,Фадеевич,АИ-102,372
Антонов,Семен,Фадеевич,АИ-80,443
Антонов,Семен,Фадеевич,АИ-92,321
Антонов,Семен,Фадеевич,АИ-95,375
Антонов,Семен,Фадеевич,АИ-98,546
Антонов,Семен,Фадеевич,"Биодизельное топливо",262
Антонов,Семен,Фадеевич,"Дизельное топливо",363
Антонов,Семен,Фадеевич,Керосин,457
Князев,Фортунат,Федосьевич,АИ-100,310
Князев,Фортунат,Федосьевич,АИ-101,752
Князев,Фортунат,Федосьевич,АИ-102,608
Князев,Фортунат,Федосьевич,АИ-80,818
Князев,Фортунат,Федосьевич,АИ-92,451
Князев,Фортунат,Федосьевич,АИ-95,714
Князев,Фортунат,Федосьевич,АИ-98,523
Князев,Фортунат,Федосьевич,"Биодизельное топливо",580
Князев,Фортунат,Федосьевич,"Дизельное топливо",302
Князев,Фортунат,Федосьевич,Керосин,280
Пономарев,Фадей,Иларионович,АИ-100,294
Пономарев,Фадей,Иларионович,АИ-101,310
Пономарев,Фадей,Иларионович,АИ-102,614
Пономарев,Фадей,Иларионович,АИ-80,661
Пономарев,Фадей,Иларионович,АИ-92,248
Пономарев,Фадей,Иларионович,АИ-95,521
Пономарев,Фадей,Иларионович,АИ-98,464
Пономарев,Фадей,Иларионович,"Биодизельное топливо",261
Пономарев,Фадей,Иларионович,"Дизельное топливо",299
Пономарев,Фадей,Иларионович,Керосин,607
Васильев,Рубен,Ерофеевич,АИ-100,713
Васильев,Рубен,Ерофеевич,АИ-101,409
Васильев,Рубен,Ерофеевич,АИ-102,729
Васильев,Рубен,Ерофеевич,АИ-80,550
Васильев,Рубен,Ерофеевич,АИ-92,432
Васильев,Рубен,Ерофеевич,АИ-95,464
Васильев,Рубен,Ерофеевич,АИ-98,514
Васильев,Рубен,Ерофеевич,"Биодизельное топливо",853
Васильев,Рубен,Ерофеевич,"Дизельное топливо",585
Васильев,Рубен,Ерофеевич,Керосин,768
Власов,Викентий,Чеславович,АИ-100,453
Власов,Викентий,Чеславович,АИ-101,434
Власов,Викентий,Чеславович,АИ-102,430
Власов,Викентий,Чеславович,АИ-80,499
Власов,Викентий,Чеславович,АИ-92,283
Власов,Викентий,Чеславович,АИ-95,367
Власов,Викентий,Чеславович,АИ-98,395
Власов,Викентий,Чеславович,"Биодизельное топливо",338
Власов,Викентий,Чеславович,"Дизельное топливо",563
Власов,Викентий,Чеславович,Керосин,470
Кабанов,Вацлав,Арсеньевич,АИ-100,449
Кабанов,Вацлав,Арсеньевич,АИ-101,507
Кабанов,Вацлав,Арсеньевич,АИ-102,196
Кабанов,Вацлав,Арсеньевич,АИ-80,366
Кабанов,Вацлав,Арсеньевич,АИ-92,468
Кабанов,Вацлав,Арсеньевич,АИ-95,453
Кабанов,Вацлав,Арсеньевич,АИ-98,474
Кабанов,Вацлав,Арсеньевич,"Биодизельное топливо",333
Кабанов,Вацлав,Арсеньевич,"Дизельное топливо",316
Кабанов,Вацлав,Арсеньевич,Керосин,305
Жуков,Велимир,Вилорович,АИ-100,588
Жуков,Велимир,Вилорович,АИ-101,776
Жуков,Велимир,Вилорович,АИ-102,708
Жуков,Велимир,Вилорович,АИ-80,676
Жуков,Велимир,Вилорович,АИ-92,302
Жуков,Велимир,Вилорович,АИ-95,609
Жуков,Велимир,Вилорович,АИ-98,843
Жуков,Велимир,Вилорович,"Биодизельное топливо",429
Жуков,Велимир,Вилорович,"Дизельное топливо",642
Жуков,Велимир,Вилорович,Керосин,739
Харитонов,Бажен,Эдгардович,АИ-100,254
Харитонов,Бажен,Эдгардович,АИ-101,108
Харитонов,Бажен,Эдгардович,АИ-102,324
Харитонов,Бажен,Эдгардович,АИ-80,127
Харитонов,Бажен,Эдгардович,АИ-92,371
Харитонов,Бажен,Эдгардович,АИ-95,292
Харитонов,Бажен,Эдгардович,АИ-98,244
Харитонов,Бажен,Эдгардович,"Биодизельное топливо",305
Харитонов,Бажен,Эдгардович,"Дизельное топливо",276
Харитонов,Бажен,Эдгардович,Керосин,334
Баранов,Антип,Арсеньевич,АИ-100,447
Баранов,Антип,Арсеньевич,АИ-101,494
Баранов,Антип,Арсеньевич,АИ-102,709
Баранов,Антип,Арсеньевич,АИ-80,457
Баранов,Антип,Арсеньевич,АИ-92,495
Баранов,Антип,Арсеньевич,АИ-95,545
Баранов,Антип,Арсеньевич,АИ-98,685
Баранов,Антип,Арсеньевич,"Биодизельное топливо",440
Баранов,Антип,Арсеньевич,"Дизельное топливо",383
Баранов,Антип,Арсеньевич,Керосин,201
Копылов,Аггей,Зиновьевич,АИ-100,362
Копылов,Аггей,Зиновьевич,АИ-101,513
Копылов,Аггей,Зиновьевич,АИ-102,605
Копылов,Аггей,Зиновьевич,АИ-80,471
Копылов,Аггей,Зиновьевич,АИ-92,369
Копылов,Аггей,Зиновьевич,АИ-95,455
Копылов,Аггей,Зиновьевич,АИ-98,422
Копылов,Аггей,Зиновьевич,"Биодизельное топливо",363
Копылов,Аггей,Зиновьевич,"Дизельное топливо",285
Копылов,Аггей,Зиновьевич,Керосин,371
Игнатов,Аполлон,Бориславович,АИ-100,333
Игнатов,Аполлон,Бориславович,АИ-101,698
Игнатов,Аполлон,Бориславович,АИ-102,627
Игнатов,Аполлон,Бориславович,АИ-80,676
Игнатов,Аполлон,Бориславович,АИ-92,494
Игнатов,Аполлон,Бориславович,АИ-95,472
Игнатов,Аполлон,Бориславович,АИ-98,496
Игнатов,Аполлон,Бориславович,"Биодизельное топливо",544
Игнатов,Аполлон,Бориславович,"Дизельное топливо",812
Игнатов,Аполлон,Бориславович,Керосин,426
Абрамов,Федосий,Борисович,АИ-100,255
Абрамов,Федосий,Борисович,АИ-102,577
Абрамов,Федосий,Борисович,АИ-80,408
Абрамов,Федосий,Борисович,АИ-92,461
Абрамов,Федосий,Борисович,АИ-95,240
Абрамов,Федосий,Борисович,АИ-98,427
Абрамов,Федосий,Борисович,"Биодизельное топливо",392
Абрамов,Федосий,Борисович,"Дизельное топливо",501
Абрамов,Федосий,Борисович,Керосин,361
Цветков,Григорий,Феодосьевич,АИ-100,601
Цветков,Григорий,Феодосьевич,АИ-101,663
Цветков,Григорий,Феодосьевич,АИ-102,519
Цветков,Григорий,Феодосьевич,АИ-80,570
Цветков,Григорий,Феодосьевич,АИ-92,397
Цветков,Григорий,Феодосьевич,АИ-95,644
Цветков,Григорий,Феодосьевич,АИ-98,567
Цветков,Григорий,Феодосьевич,"Биодизельное топливо",520
Цветков,Григорий,Феодосьевич,"Дизельное топливо",349
Цветков,Григорий,Феодосьевич,Керосин,369
Гаврилов,Август,Измаилович,АИ-100,386
Гаврилов,Август,Измаилович,АИ-101,261
Гаврилов,Август,Измаилович,АИ-102,492
Гаврилов,Август,Измаилович,АИ-80,503
Гаврилов,Август,Измаилович,АИ-92,167
Гаврилов,Август,Измаилович,АИ-95,546
Гаврилов,Август,Измаилович,АИ-98,242
Гаврилов,Август,Измаилович,"Биодизельное топливо",381
Гаврилов,Август,Измаилович,"Дизельное топливо",336
Гаврилов,Август,Измаилович,Керосин,639
Кудряшов,Алексей,Антипович,АИ-100,359
Кудряшов,Алексей,Антипович,АИ-101,305
Кудряшов,Алексей,Антипович,АИ-102,444
Кудряшов,Алексей,Антипович,АИ-80,429
Кудряшов,Алексей,Антипович,АИ-92,575
Кудряшов,Алексей,Антипович,АИ-95,343
Кудряшов,Алексей,Антипович,АИ-98,494
Кудряшов,Алексей,Антипович,"Биодизельное топливо",545
Кудряшов,Алексей,Антипович,"Дизельное топливо",489
Кудряшов,Алексей,Антипович,Керосин,477
Лазарев,Моисей,Федосьевич,АИ-100,333
Лазарев,Моисей,Федосьевич,АИ-101,474
Лазарев,Моисей,Федосьевич,АИ-102,399
Лазарев,Моисей,Федосьевич,АИ-80,319
Лазарев,Моисей,Федосьевич,АИ-92,317
Лазарев,Моисей,Федосьевич,АИ-95,261
Лазарев,Моисей,Федосьевич,АИ-98,649
Лазарев,Моисей,Федосьевич,"Биодизельное топливо",514
Лазарев,Моисей,Федосьевич,"Дизельное топливо",334
Лазарев,Моисей,Федосьевич,Керосин,325
Игнатов,Вениамин,Харламович,АИ-100,542
Игнатов,Вениамин,Харламович,АИ-101,671
Игнатов,Вениамин,Харламович,АИ-102,863
Игнатов,Вениамин,Харламович,АИ-80,784
Игнатов,Вениамин,Харламович,АИ-92,712
Игнатов,Вениамин,Харламович,АИ-95,597
Игнатов,Вениамин,Харламович,АИ-98,769
Игнатов,Вениамин,Харламович,"Биодизельное топливо",436
Игнатов,Вениамин,Харламович,"Дизельное топливо",481
Игнатов,Вениамин,Харламович,Керосин,742
Силин,Милован,Аверьянович,АИ-100,672
Силин,Милован,Аверьянович,АИ-101,694
Силин,Милован,Аверьянович,АИ-102,722
Силин,Милован,Аверьянович,АИ-80,482
Силин,Милован,Аверьянович,АИ-92,589
Силин,Милован,Аверьянович,АИ-95,604
Силин,Милован,Аверьянович,АИ-98,254
Силин,Милован,Аверьянович,"Биодизельное топливо",783
Силин,Милован,Аверьянович,"Дизельное топливо",600
Силин,Милован,Аверьянович,Керосин,623
Бобров,Наркис,Вячеславович,АИ-100,471
Бобров,Наркис,Вячеславович,АИ-101,506
Бобров,Наркис,Вячеславович,АИ-102,620
Бобров,Наркис,Вячеславович,АИ-80,415
Бобров,Наркис,Вячеславович,АИ-92,577
Бобров,Наркис,Вячеславович,АИ-95,309
Бобров,Наркис,Вячеславович,АИ-98,369
Бобров,Наркис,Вячеславович,"Биодизельное топливо",448
Бобров,Наркис,Вячеславович,"Дизельное топливо",360
Бобров,Наркис,Вячеславович,Керосин,504
Поляков,Аркадий,Денисович,АИ-100,263
Поляков,Аркадий,Денисович,АИ-101,127
Поляков,Аркадий,Денисович,АИ-102,245
Поляков,Аркадий,Денисович,АИ-80,192
Поляков,Аркадий,Денисович,АИ-92,242
Поляков,Аркадий,Денисович,АИ-95,381
Поляков,Аркадий,Денисович,АИ-98,313
Поляков,Аркадий,Денисович,"Биодизельное топливо",192
Поляков,Аркадий,Денисович,"Дизельное топливо",272
Поляков,Аркадий,Денисович,Керосин,495
Козлов,Остап,Фомич,АИ-100,322
Козлов,Остап,Фомич,АИ-101,252
Козлов,Остап,Фомич,АИ-102,244
Козлов,Остап,Фомич,АИ-80,380
Козлов,Остап,Фомич,АИ-92,318
Козлов,Остап,Фомич,АИ-95,78
Козлов,Остап,Фомич,АИ-98,137
Козлов,Остап,Фомич,"Биодизельное топливо",448
Козлов,Остап,Фомич,"Дизельное топливо",282
Козлов,Остап,Фомич,Керосин,250
Вишняков,Ростислав,Вилорович,АИ-100,447
Вишняков,Ростислав,Вилорович,АИ-101,299
Вишняков,Ростислав,Вилорович,АИ-102,252
Вишняков,Ростислав,Вилорович,АИ-80,427
Вишняков,Ростислав,Вилорович,АИ-92,257
Вишняков,Ростислав,Вилорович,АИ-95,425
Вишняков,Ростислав,Вилорович,АИ-98,535
Вишняков,Ростислав,Вилорович,"Биодизельное топливо",556
Вишняков,Ростислав,Вилорович,"Дизельное топливо",433
Вишняков,Ростислав,Вилорович,Керосин,585
Лыткин,Святополк,Валерьянович,АИ-100,422
Лыткин,Святополк,Валерьянович,АИ-101,346
Лыткин,Святополк,Валерьянович,АИ-102,409
Лыткин,Святополк,Валерьянович,АИ-80,571
Лыткин,Святополк,Валерьянович,АИ-92,347
Лыткин,Святополк,Валерьянович,АИ-95,504
Лыткин,Святополк,Валерьянович,АИ-98,356
Лыткин,Святополк,Валерьянович,"Биодизельное топливо",518
Лыткин,Святополк,Валерьянович,"Дизельное топливо",315
Лыткин,Святополк,Валерьянович,Керосин,576
Кошелев,Сергей,Георгиевич,АИ-100,422
Кошелев,Сергей,Георгиевич,АИ-101,431
Кошелев,Сергей,Георгиевич,АИ-102,256
Кошелев,Сергей,Георгиевич,АИ-80,303
Кошелев,Сергей,Георгиевич,АИ-92,336
Кошелев,Сергей,Георгиевич,АИ-95,223
Кошелев,Сергей,Георгиевич,АИ-98,319
Кошелев,Сергей,Георгиевич,"Биодизельное топливо",526
Кошелев,Сергей,Георгиевич,"Дизельное топливо",360
Кошелев,Сергей,Георгиевич,Керосин,306
Петухов,Ферапонт,Валерьевич,АИ-100,242
Петухов,Ферапонт,Валерьевич,АИ-101,434
Петухов,Ферапонт,Валерьевич,АИ-102,535
Петухов,Ферапонт,Валерьевич,АИ-80,442
Петухов,Ферапонт,Валерьевич,АИ-92,567
Петухов,Ферапонт,Валерьевич,АИ-95,817
Петухов,Ферапонт,Валерьевич,АИ-98,852
Петухов,Ферапонт,Валерьевич,"Биодизельное топливо",517
Петухов,Ферапонт,Валерьевич,"Дизельное топливо",583
Петухов,Ферапонт,Валерьевич,Керосин,571
Попов,Евсей,Адамович,АИ-100,547
Попов,Евсей,Адамович,АИ-101,612
Попов,Евсей,Адамович,АИ-102,627
Попов,Евсей,Адамович,АИ-80,568
Попов,Евсей,Адамович,АИ-92,290
Попов,Евсей,Адамович,АИ-95,505
Попов,Евсей,Адамович,АИ-98,622
Попов,Евсей,Адамович,"Биодизельное топливо",649
Попов,Евсей,Адамович,"Дизельное топливо",508
Попов,Евсей,Адамович,Керосин,589
Карпов,Ермолай,Демьянович,АИ-100,250
Карпов,Ермолай,Демьянович,АИ-101,331
Карпов,Ермолай,Демьянович,АИ-102,360
Карпов,Ермолай,Демьянович,АИ-80,396
Карпов,Ермолай,Демьянович,АИ-92,409
Карпов,Ермолай,Демьянович,АИ-95,367
Карпов,Ермолай,Демьянович,АИ-98,383
Карпов,Ермолай,Демьянович,"Биодизельное топливо",245
Карпов,Ермолай,Демьянович,"Дизельное топливо",506
Карпов,Ермолай,Демьянович,Керосин,598
Горбачев,Флорентин,Витальевич,АИ-100,923
Горбачев,Флорентин,Витальевич,АИ-101,635
Горбачев,Флорентин,Витальевич,АИ-102,685
Горбачев,Флорентин,Витальевич,АИ-80,744
Горбачев,Флорентин,Витальевич,АИ-92,1118
Горбачев,Флорентин,Витальевич,АИ-95,758
Горбачев,Флорентин,Витальевич,АИ-98,1062
Горбачев,Флорентин,Витальевич,"Биодизельное топливо",684
Горбачев,Флорентин,Витальевич,"Дизельное топливо",1002
Горбачев,Флорентин,Витальевич,Керосин,465
Буров,Климент,Арсеньевич,АИ-100,525
Буров,Климент,Арсеньевич,АИ-101,382
Буров,Климент,Арсеньевич,АИ-102,548
Буров,Климент,Арсеньевич,АИ-80,266
Буров,Климент,Арсеньевич,АИ-92,296
Буров,Климент,Арсеньевич,АИ-95,400
Буров,Климент,Арсеньевич,АИ-98,382
Буров,Климент,Арсеньевич,"Биодизельное топливо",442
Буров,Климент,Арсеньевич,"Дизельное топливо",269
Буров,Климент,Арсеньевич,Керосин,434
Дьячков,Аникита,Бориславович,АИ-100,436
Дьячков,Аникита,Бориславович,АИ-101,592
Дьячков,Аникита,Бориславович,АИ-102,412
Дьячков,Аникита,Бориславович,АИ-80,462
Дьячков,Аникита,Бориславович,АИ-92,512
Дьячков,Аникита,Бориславович,АИ-95,463
Дьячков,Аникита,Бориславович,АИ-98,109
Дьячков,Аникита,Бориславович,"Биодизельное топливо",457
Дьячков,Аникита,Бориславович,"Дизельное топливо",665
